product_name,product_id,url,image,price,scraped_at
Glossier You Soie,47501395853557,https://www.glossier.com/en-lt/products/glossier-you-soie?variant=47501395853557,"https://glossier-prod.imgix.net/files/new-glossier-fragrance-you-soie-carousel-01.jpg?auto=compress,format&cs=srgb","€95,95 EUR",2026-04-20T20:38:32
Glossier You Soie,47501395886325,https://www.glossier.com/en-lt/products/glossier-you-soie?variant=47501395886325,"https://glossier-prod.imgix.net/files/glossier-soie-8ml-carousel-01.png?auto=compress,format&cs=srgb","€37,95 EUR",2026-04-20T20:38:32
Glossier You,44056890540277,https://www.glossier.com/en-lt/products/glossier-you?variant=44056890540277,"https://glossier-prod.imgix.net/files/glossier-fragrance-you-01.png?auto=compress,format&cs=srgb","€95,95 EUR",2026-04-20T20:38:33
Glossier You,44056890573045,https://www.glossier.com/en-lt/products/glossier-you?variant=44056890573045,"https://glossier-prod.imgix.net/files/glossier-fragrance-you-xl-01.png?auto=compress,format&cs=srgb","€134,95 EUR",2026-04-20T20:38:33
Glossier You,45133430554869,https://www.glossier.com/en-lt/products/glossier-you?variant=45133430554869,"https://glossier-prod.imgix.net/files/glossier-fragrance-you-travelspray-01.png?auto=compress,format&cs=srgb","€37,95 EUR",2026-04-20T20:38:33
Vacation Essentials,9576416837877,https://www.glossier.com/en-lt/products/vacation-essentials,https://www.glossier.com/cdn/shop/files/glossier-8ml-soie-futuredew-set-carousel-01_271x.png?v=1775481592,"€60,95",2026-04-20T20:38:34
You + Soie Travel Spray,9589529280757,https://www.glossier.com/en-lt/products/you-soie-travel-spray,https://www.glossier.com/cdn/shop/files/glossier-glossier-you-soie-set-carousel-1_127d5cd8-6981-4ca8-bdaf-6f854813ae5d_271x.png?v=1776193271,"€112,95",2026-04-20T20:38:35
Spring Pinks,9576351138037,https://www.glossier.com/en-lt/products/spring-pinks,https://www.glossier.com/cdn/shop/files/glossier-balm-pinks-trio-carousel-01_271x.png?v=1775065599,"€48,95",2026-04-20T20:38:36
Futuredew,8035305128181,https://www.glossier.com/en-lt/products/futuredew,https://www.glossier.com/cdn/shop/files/glossier-skincare-futuredew-carousel-01_271x.png?v=1762200221,"€34,95",2026-04-20T20:38:37
Glossier You Doux,46147023896821,https://www.glossier.com/en-lt/products/glossier-you-doux?variant=46147023896821,"https://glossier-prod.imgix.net/files/glossier-doux-launch-carousel-01.png?auto=compress,format&cs=srgb","€95,95 EUR",2026-04-20T20:38:38
Glossier You Doux,46964207026421,https://www.glossier.com/en-lt/products/glossier-you-doux?variant=46964207026421,"https://glossier-prod.imgix.net/files/glossier-carousel-doux-xl-01.png?auto=compress,format&cs=srgb","€134,95 EUR",2026-04-20T20:38:38
Glossier You Doux,46147023929589,https://www.glossier.com/en-lt/products/glossier-you-doux?variant=46147023929589,"https://glossier-prod.imgix.net/files/glossier-doux-8ml-carousel-01.png?auto=compress,format&cs=srgb","€37,95 EUR",2026-04-20T20:38:38
Boy Brow,8058325532917,https://www.glossier.com/en-lt/products/boy-brow,https://www.glossier.com/cdn/shop/files/glossier-boy-brow-black-carousel-01_271x.png?v=1762200422,"€25,95",2026-04-20T20:38:40
Balm Dotcom,9150866882805,https://www.glossier.com/en-lt/products/balm-dotcom,https://www.glossier.com/cdn/shop/files/glossier-bdc-wildfig-carousel-1_271x.png?v=1762201257,"€18,95",2026-04-20T20:38:40
Balm Dotcom,9150866882805,https://www.glossier.com/en-lt/products/balm-dotcom,https://www.glossier.com/cdn/shop/files/glossier-bdc-wildfig-carousel-1_271x.png?v=1762201257,"€18,95",2026-04-20T20:38:41
Lip Line,8955889910005,https://www.glossier.com/en-lt/products/lip-line,https://www.glossier.com/cdn/shop/files/glossier-carousel-lipline-hold-01_271x.png?v=1762201232,"€23,95",2026-04-20T20:38:42
Soie + You Travel Spray,9570190033141,https://www.glossier.com/en-lt/products/soie-you-travel-spray,https://www.glossier.com/cdn/shop/files/Img_1_271x.png?v=1775139194,"€112,95",2026-04-20T20:38:43
Glossier You Fleur Duo,9349805965557,https://www.glossier.com/en-lt/products/glossier-you-fleur-duo,https://www.glossier.com/cdn/shop/files/glossier-holiday-fleur-duo-carousel-01_271x.png?v=1758304846,"€102,95",2026-04-20T20:38:43
Glossier You Fleur,46373327044853,https://www.glossier.com/en-lt/products/glossier-you-fleur?variant=46373327044853,"https://glossier-prod.imgix.net/files/glossier-fleur-50ml-carousel-01.png?auto=compress,format&cs=srgb","€95,95 EUR",2026-04-20T20:38:44
Glossier You Fleur,46373327077621,https://www.glossier.com/en-lt/products/glossier-you-fleur?variant=46373327077621,"https://glossier-prod.imgix.net/files/glossier-fleur-8ml-carousel-01.png?auto=compress,format&cs=srgb","€37,95 EUR",2026-04-20T20:38:44
Glossier You Rêve,46147021963509,https://www.glossier.com/en-lt/products/glossier-you-reve?variant=46147021963509,"https://glossier-prod.imgix.net/files/glossier-reve-launch-carousel-01.png?auto=compress,format&cs=srgb","€95,95 EUR",2026-04-20T20:38:45
Glossier You Rêve,46147021996277,https://www.glossier.com/en-lt/products/glossier-you-reve?variant=46147021996277,"https://glossier-prod.imgix.net/files/glossier-reve-8ml-carousel-01.png?auto=compress,format&cs=srgb","€37,95 EUR",2026-04-20T20:38:45
Cloud Paint,8955892400373,https://www.glossier.com/en-lt/products/cloud-paint,https://www.glossier.com/cdn/shop/files/glossier-cloud-paint-beam-carousel-01_271x.png?v=1762200966,"€27,95",2026-04-20T20:38:46
Cloud Paint,8955892400373,https://www.glossier.com/en-lt/products/cloud-paint,https://www.glossier.com/cdn/shop/files/glossier-cloud-paint-beam-carousel-01_271x.png?v=1762200966,"€27,95",2026-04-20T20:38:49
Ultralip,8983877845237,https://www.glossier.com/en-lt/products/ultralip,https://www.glossier.com/cdn/shop/files/glossier-makeup-ultralip-catchet-carousel-01_271x.png?v=1762200271,"€25,95",2026-04-20T20:38:52
Lip Gloss,8781157761269,https://www.glossier.com/en-lt/products/lip-gloss,https://www.glossier.com/cdn/shop/files/glossier-lip-gloss-clear-01_271x.png?v=1762201529,"€20,95",2026-04-20T20:38:52
Boy Brow Arch,8703842156789,https://www.glossier.com/en-lt/products/boy-brow-arch,https://www.glossier.com/cdn/shop/files/glossier-bba-auburn-carousel-01_271x.png?v=1762201358,"€27,95",2026-04-20T20:38:55
Body Spritz,9089546780917,https://www.glossier.com/en-lt/products/body-spritz,https://www.glossier.com/cdn/shop/files/glossier-body-spritz-obn-carousel-01_271x.png?v=1762202213,"€40,95",2026-04-20T20:39:01
Hand Cream,9349787418869,https://www.glossier.com/en-lt/products/hand-cream,https://www.glossier.com/cdn/shop/files/glossier-holiday-handcream-carousel-01_271x.png?v=1759155006,"€23,95",2026-04-20T20:39:01
Glossier You Wardrobe,9345143865589,https://www.glossier.com/en-lt/products/glossier-you-mini-wardrobe,https://www.glossier.com/cdn/shop/files/glossier-holiday-mini-wardrobe-carousel-01_271x.png?v=1763733915,"€17,95",2026-04-20T20:39:03
Mini Ultralip Trio,9345143210229,https://www.glossier.com/en-lt/products/mini-ultralip-trio,https://www.glossier.com/cdn/shop/files/glossier-holiday-mini-ultrio-carousel-01_271x.png?v=1758572150,"€23,95",2026-04-20T20:39:05
